0.0,9,1025
1.0,9,810
2.0,9,853
3.0,9,994
4.0,9,879
5.0,9,761
6.0,9,945
7.0,9,833
8.0,8,844
9.0,9,964
10.0,8,853
11.0,9,764
12.0,9,957
13.0,9,802
14.0,9,832
15.0,9,966
16.0,9,892
17.0,9,750
18.0,8,939
19.0,9,872
20.0,9,875
21.0,8,962
22.0,9,808
23.0,9,530
24.0,9,938
25.0,8,781
26.0,9,725
27.0,8,939
28.0,9,827
29.0,9,775
30.0,9,946
31.0,9,835
32.0,9,812
33.0,9,951
34.0,9,853
35.0,9,761
36.0,9,945
37.0,8,815
38.0,9,790
39.0,8,940
40.0,9,848
41.0,9,773
42.0,8,940
43.0,9,857
44.0,8,814
45.0,9,938
46.0,9,819
47.0,9,598
48.0,9,559
49.0,9,460
50.0,9,366
51.0,9,506
52.0,8,435
53.0,9,361
54.0,9,386
55.0,9,341
56.0,8,317
57.0,8,365
58.0,9,334
59.0,9,276
60.0,9,332
61.0,9,281
62.0,9,255
63.0,9,316
64.0,9,281
65.0,8,248
66.0,9,303
67.0,9,273
68.0,8,265
69.0,8,308
70.0,8,267
71.0,9,199
72.0,8,212
73.0,8,179
74.0,8,147
75.0,8,171
76.0,8,145
77.0,7,113
78.0,9,152
79.0,8,136
80.0,8,114
81.0,8,140
82.0,8,123
83.0,9,105
84.0,9,136
85.0,8,121
86.0,8,104
87.0,9,133
88.0,8,124
89.0,8,106
90.0,8,129
35.5,9,770
92.0,8,102
93.0,8,129
94.0,9,108
2.5,8,892
96.0,9,83
97.0,7,71
98.0,8,61
99.0,8,74
100.0,7,62
101.0,9,50
102.0,7,60
103.0,8,51
127.5,7,27
105.0,7,59
106.0,8,50
107.0,8,38
108.0,8,48
109.0,8,42
110.0,8,39
111.0,8,49
112.0,7,41
113.0,7,39
114.0,7,45
115.0,8,40
116.0,8,43
117.0,7,45
118.0,8,39
119.0,7,30
120.0,9,32
121.0,6,27
122.0,7,27
123.0,8,30
124.0,8,25
125.0,8,18
126.0,7,29
127.0,6,21
128.0,6,23
129.0,8,24
130.0,7,19
131.0,8,18
132.0,7,20
133.0,7,15
134.0,8,17
135.0,7,20
136.0,6,16
137.0,6,12
138.0,5,18
139.0,6,14
29.25,6,14
141.0,6,18
142.0,5,12
143.0,6,11
144.0,7,10
145.0,6,8
146.0,4,9
147.0,6,10
148.0,6,8
149.0,5,8
31.25,6,17
151.0,5,5
104.5,8,52
153.0,4,7
154.0,2,5
37.5,9,926
0.5,9,760
157.0,4,5
158.0,4,5
9.5,8,830
160.0,5,6
161.0,3,5
162.0,4,6
163.0,3,4
164.0,4,6
165.0,4,6
23.5,9,483
167.0,4,4
73.5,8,203
96.5,7,62
33.3333333333,2,2
171.0,3,5
172.0,4,5
173.0,2,3
82.3333333333,1,1
175.0,4,5
176.0,4,4
177.0,3,5
178.0,3,5
46.25,7,14
64.1666666667,2,2
181.0,3,5
182.0,4,4
183.0,4,5
184.0,3,5
185.0,2,3
186.0,3,5
187.0,4,5
188.0,4,4
189.0,3,5
190.0,4,4
191.0,2,2
192.0,1,1
10.25,7,18
194.0,1,1
195.0,1,1
196.0,1,1
197.0,1,1
198.0,1,1
199.0,1,1
200.0,1,1
201.0,1,1
137.5,6,13
203.0,1,1
99.75,5,6
205.0,1,1
14.3333333333,1,1
8.75,6,13
208.0,1,1
209.0,1,1
210.0,1,1
211.0,1,1
212.0,1,1
213.0,1,1
214.0,1,1
3.75,6,16
108.5,8,43
196.5,1,1
218.0,1,1
39.5,9,802
68.75,3,4
221.0,1,1
222.0,1,1
34.5,9,921
224.0,1,1
225.0,1,1
226.0,1,1
63.75,5,9
117.25,1,1
229.0,1,1
24.5,9,726
231.0,1,1
77.5,8,141
65.5,8,273
21.5,8,835
33.8333333333,2,2
236.0,1,1
237.0,1,1
238.0,1,1
239.0,1,1
240.0,1,1
231.5,1,1
242.0,1,1
48.25,4,7
86.25,2,3
245.0,1,1
16.75,6,8
12.25,5,12
248.0,1,1
249.0,1,1
250.0,1,1
251.0,1,1
252.0,1,1
253.0,1,1
254.0,1,1
255.0,1,1
256.0,1,1
10.75,4,6
258.0,1,1
32.75,7,13
260.0,1,1
261.0,1,1
262.0,1,1
263.0,1,1
6.66666666667,1,1
265.0,1,1
266.0,1,1
180.75,1,1
103.75,4,5
0.75,7,14
270.0,1,1
271.0,1,1
272.0,1,1
273.0,1,1
274.0,1,1
17.1666666667,1,1
276.0,1,1
277.0,1,1
278.0,1,1
279.0,1,1
112.5,7,46
204.5,1,1
282.0,1,1
41.5,9,830
72.75,3,4
285.0,1,1
286.0,1,1
134.5,7,20
10.375,1,1
106.0625,1,1
139.5,6,18
25.5,9,917
81.5,8,117
207.5,1,1
42.25,4,4
43.0625,1,1
239.5,1,1
27.6875,1,1
50.25,4,8
90.25,1,2
243.0,1,1
17.75,5,9
43.125,1,1
283.0,1,1
36.6666666667,1,1
258.25,1,1
86.125,1,1
11.25,6,10
34.75,3,3
34.0625,1,1
107.75,1,1
49.0625,1,1
15.3333333333,1,1
269.5,1,1
193.0,1,1
9.66666666667,1,1
116.5,7,40
212.5,1,1
24.3125,1,1
43.5,8,928
76.75,2,2
